project_number,project_type,project_description,last_reviewed,project_location_clean,Coordinates_lat_lon
OG 16-270,Commercial,Replace roofing and mechanical equipment,2016-07-21T12:00:00Z,1226-1228 36th street nw,"(38.906086, -77.07050346248424)"
OG 16-266,Georgetown,Georgetown University Draft Campus Plan 2017-2036,2016-07-21T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 16-265,Residence,Alterations,2016-07-21T12:00:00Z,2812 dumbarton street nw,"(38.9075632, -77.05759076265568)"
OG 16-262,Commercial,"Alterations, Awnings, Signs - Say Cheese",2016-07-21T12:00:00Z,1132 29th street nw,"(38.9049655, -77.0582309)"
OG 16-261,Mixed-use,"Alterations, Replacement windows",2016-07-21T12:00:00Z,3600 m street nw,"(38.90525392492235, -77.05306034405949)"
OG 16-260,Commercial,Alterations to storefront - Anthropologie,2016-07-21T12:00:00Z,3222-3236 m street nw,"(38.9049957, -77.0637404)"
OG 16-259,Residence,Replacement windows,2016-07-21T12:00:00Z,1621 35th street nw,"(38.91136645, -77.06894275888038)"
OG 16-258,Residence,Three-story side addition,2016-07-21T12:00:00Z,2804 n street nw,"(38.906728, -77.05734876811037)"
OG 16-257,Residence,Replacement Windows,2016-07-21T12:00:00Z,1623 35th street nw,"(38.911429049999995, -77.06893435713755)"
OG 16-255,Residence,Skylight,2016-07-21T12:00:00Z,3060 q street nw,"(38.9103449, -77.06128956817382)"
OG 16-254,Residence,"Rear addition, Alterations",2016-07-21T12:00:00Z,3029 dent place nw,"(38.912062399999996, -77.06042877641723)"
OG 16-253,House,Replacement roof terrace,2016-07-21T12:00:00Z,2900 k street nw,"(38.9014816, -77.0588124)"
OG 16-252,Residence,"Alterations to front porch, Replacement doors",2016-07-21T12:00:00Z,2723 q street nw,"(38.91084415, -77.05628610878378)"
OG 16-251,Residence,"Alterations, Replacement windows",2016-07-21T12:00:00Z,3348 prospect street nw,"(38.905795, -77.0677172)"
OG 16-250,Commercial,Replacement windows,2016-07-21T12:00:00Z,3122 m street nw,"(38.90498205, -77.0619053614499)"
OG 16-248,Mixed-use,"Rooftop addition, Demolition, Alterations",2016-07-21T12:00:00Z,3240 prospect street nw,"(38.90575985, -77.06448965150838)"
OG 16-241,Residence,"Addition, Demolition, Replacement windows, Site work",2016-07-21T12:00:00Z,3420 p street nw,"(38.90857765, -77.06858449305872)"
OG 16-240,Mixed-use,"Rooftop and rear additions, Demolition",2016-07-21T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 16-239,Commercial,Site work,2016-07-21T12:00:00Z,3000 k street nw,"(38.901738300000005, -77.05971253342119)"
OG 16-221,Commercial,"Signs, Mechanical equipment, Alterations - Laduree",2016-07-21T12:00:00Z,3060 m street nw,"(38.9050515, -77.0607734)"
OG 16-216,Commercial,"Alterations, Mechanical equipment",2016-07-21T12:00:00Z,3265 m street nw,"(38.9053284, -77.06480862528693)"
OG 16-204,Commercial,Roof deck and railing,2016-07-21T12:00:00Z,1413 wisconsin avenue nw,"(38.9088258, -77.06381903896423)"
OG 16-202,Mixed-use,"Awnings, Banner - Curio",2016-07-21T12:00:00Z,1071 thomas jefferson street nw,"(38.9046273, -77.05997164008193)"
OG 16-200,Commercial,"Storefront alterations, Replacement canopy, HVAC screen",2016-07-21T12:00:00Z,1335 wisconsin avenue nw,"(38.9074919, -77.06317091714419)"
OG 16-188,Commercial,Signs - Poggenpohl,2016-07-21T12:00:00Z,3327 m street nw,"(38.9052489, -77.0669091)"
OG 16-169,Restaurant,"Sign, Alley lighting - Sovereign",2016-07-21T12:00:00Z,1206 wisconsin avenue nw,"(38.9055067, -77.0631764)"
OG 16-154,Residence,"New window openings, Window wells in public space",2016-07-21T12:00:00Z,3207 scott place nw,"(38.9121267, -77.06438700301041)"
OG 16-092,Residence,"Alterations, Replacement windows",2016-07-21T12:00:00Z,3300 q street nw,"(38.910645200000005, -77.06641724791291)"
OG 16-293,Mixed-use,Signs - The Foundry,2016-07-07T12:00:00Z,1055 thomas jefferson street nw,"(38.9034917, -77.0599625)"
OG 16-292,Residence,"Rear addition, Shed demolition, Site work",2016-07-07T12:00:00Z,3009 dumbarton street nw,"(38.9077782, -77.0596574)"
OG 16-291,Residence,"Rear addition, Roof alterations, New garage, Pool, Site work",2016-07-07T12:00:00Z,1688 31st street nw,"(38.9127582, -77.06325286548692)"
OG 16-290,Residence,"Alterations, Replacement windows, Window wells in public space",2016-07-07T12:00:00Z,3048 r street nw,"(38.912661, -77.0608056)"
OG 16-289,Commercial,Back-lit signs - Paisano's,2016-07-07T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 16-287,Multi-family,"New construction, Demolition",2016-07-07T12:00:00Z,3255-3259 prospect street nw,"(38.90621975, -77.06477624835617)"
OG 16-286,Mixed-use,"Alley fenestration alterations, Rear addition, Signs",2016-07-07T12:00:00Z,3210 grace street nw,"(38.9038266, -77.06351080203387)"
OG 16-285,Commercial,Mechanical equipment at rear yard,2016-07-07T12:00:00Z,1238 wisconsin avenue nw,"(38.90624885, -77.06315059581954)"
OG 16-284,Residence,"Sliding gate, Garden walls, Site work",2016-07-07T12:00:00Z,3247 p street nw,"(38.90894, -77.06489174372386)"
OG 16-283,Residence,"Alterations, Replacement windows",2016-07-07T12:00:00Z,2809 dumbarton street nw,"(38.907922400000004, -77.0574415449529)"
OG 16-282,Residence,Replacement Windows,2016-07-07T12:00:00Z,1313 28th street nw,"(38.90723465, -77.05688820341608)"
OG 16-281,Residence,"New dormers, Fenestration alterations",2016-07-07T12:00:00Z,1536 32nd street nw,"(38.9101789, -77.0638871)"
OG 16-280,Residence,Garden Walls,2016-07-07T12:00:00Z,3264 s street nw,"(38.91455645, -77.06636982630258)"
OG 16-279,Commercial,"Alterations, Rear addition at 2nd floor, Site work",2016-07-07T12:00:00Z,1069 thomas jefferson street nw,"(38.9045687, -77.05995031622639)"
OG 16-278,Commercial,"Alterations to storefront, Signs - Aesop",2016-07-07T12:00:00Z,3275 m street nw,"(38.9052854, -77.0650563)"
OG 16-276,Mixed-use,"Rear addition, Demolition",2016-07-07T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 16-275,Residence,"Addition to garage, Alterations",2016-07-07T12:00:00Z,3100 dumbarton street nw,"(38.9074729, -77.061426)"
OG 16-274,Commercial,Alterations to storefront - Francesca's,2016-07-07T12:00:00Z,3128 m street nw,"(38.9049636, -77.06204917557346)"
OG 16-273,Commercial,Replace roof and mechanical equipment,2016-07-07T12:00:00Z,1230-1234 36th street nw,"(38.9062247, -77.0705367)"
OG 16-272,Commercial,Remove roofing and mechanical equipment,2016-07-07T12:00:00Z,1230-1234 36th street nw,"(38.9062247, -77.0705367)"
OG 16-271,Commercial,Remove roofing and mechanical equipment,2016-07-07T12:00:00Z,1226-1228 36th street nw,"(38.906086, -77.07050346248424)"
OG 16-270,Commercial,Replace roofing and mechanical equipment,2016-07-07T12:00:00Z,1226-1228 36th street nw,"(38.906086, -77.07050346248424)"
OG 16-266,Georgetown,Georgetown University Draft Campus Plan 2017-2036,2016-07-07T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 16-265,Residence,Alterations,2016-07-07T12:00:00Z,2812 dumbarton street nw,"(38.9075632, -77.05759076265568)"
OG 16-262,Commercial,"Alterations, Awnings, Signs - Say Cheese",2016-07-07T12:00:00Z,1132 29th street nw,"(38.9049655, -77.0582309)"
OG 16-261,Mixed-use,"Alterations, Replacement windows",2016-07-07T12:00:00Z,3600 m street nw,"(38.90525392492235, -77.05306034405949)"
OG 16-260,Commercial,Alterations to Storefront- Anthropologie,2016-07-07T12:00:00Z,3222-3236 m street nw,"(38.9049957, -77.0637404)"
OG 16-259,Residence,Replacement windows,2016-07-07T12:00:00Z,1621 35th street nw,"(38.91136645, -77.06894275888038)"
OG 16-258,Residence,Three-story rear addition,2016-07-07T12:00:00Z,2804 n street nw,"(38.906728, -77.05734876811037)"
OG 16-257,Residence,Replacement Windows,2016-07-07T12:00:00Z,1623 35th street nw,"(38.911429049999995, -77.06893435713755)"
OG 16-256,Residence,"Alterations, Roof deck",2016-07-07T12:00:00Z,1623 33rd street nw,"(38.9113194, -77.06592808176534)"
OG 16-255,Residence,Skylight,2016-07-07T12:00:00Z,3060 q street nw,"(38.9103449, -77.06128956817382)"
OG 16-254,Residence,"Rear addition, Alterations",2016-07-07T12:00:00Z,3029 dent place nw,"(38.912062399999996, -77.06042877641723)"
OG 16-253,House,Replacement roof terrace,2016-07-07T12:00:00Z,2900 k street nw,"(38.9014816, -77.0588124)"
OG 16-252,Residence,"Alterations to front porch, Replacement doors",2016-07-07T12:00:00Z,2723 q street nw,"(38.91084415, -77.05628610878378)"
OG 16-251,Residence,"Alterations, Replacement windows",2016-07-07T12:00:00Z,3348 prospect street nw,"(38.905795, -77.0677172)"
OG 16-250,Commercial,Replacement windows,2016-07-07T12:00:00Z,3122 m street nw,"(38.90498205, -77.0619053614499)"
OG 16-248,Mixed-use,"Rooftop addition, Demolition, Alterations",2016-07-07T12:00:00Z,3240 prospect street nw,"(38.90575985, -77.06448965150838)"
OG 16-241,Residence,"Addition, Demolition, Replacement windows, Site work",2016-07-07T12:00:00Z,3420 p street nw,"(38.90857765, -77.06858449305872)"
OG 16-240,Mixed-use,"Rooftop and rear additions, Demolition",2016-07-07T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 16-239,Commercial,Site work,2016-07-07T12:00:00Z,3000 k street nw,"(38.901738300000005, -77.05971253342119)"
OG 16-221,Commercial,"Signs, Mechanical equipment, Alterations - Laduree",2016-07-07T12:00:00Z,3060 m street nw,"(38.9050515, -77.0607734)"
OG 16-216,Commercial,"Alterations, Mechanical equipment",2016-07-07T12:00:00Z,3265 m street nw,"(38.9053284, -77.06480862528693)"
OG 16-204,Commercial,Roof deck and railing,2016-07-07T12:00:00Z,1413 wisconsin avenue nw,"(38.9088258, -77.06381903896423)"
OG 16-202,Mixed-use,"Awnings, Banner - Curio",2016-07-07T12:00:00Z,1071 thomas jefferson street nw,"(38.9046273, -77.05997164008193)"
OG 16-200,Commercial,"Storefront alterations, Replacement canopy, HVAC screen",2016-07-07T12:00:00Z,1335 wisconsin avenue nw,"(38.9074919, -77.06317091714419)"
OG 16-188,Commercial,Signs - Poggenpohl,2016-07-07T12:00:00Z,3327 m street nw,"(38.9052489, -77.0669091)"
OG 16-169,Restaurant,"Sign, Alley lighting - Sovereign",2016-07-07T12:00:00Z,1206 wisconsin avenue nw,"(38.9055067, -77.0631764)"
OG 16-154,Residence,"New window openings, Window wells in public space",2016-07-07T12:00:00Z,3207 scott place nw,"(38.9121267, -77.06438700301041)"
OG 16-110,MedStar,"New hospital building, Site work",2016-07-07T12:00:00Z,3800 reservoir road nw,"(38.9111463, -77.07534615326537)"
OG 16-092,Residence,"Alterations, Replacement windows",2016-07-07T12:00:00Z,3300 q street nw,"(38.910645200000005, -77.06641724791291)"
OG 16-249,Georgetown,Solar panels,2016-06-16T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 16-247,Residence,Alterations,2016-06-16T12:00:00Z,1544 33rd street nw,"(38.91000135, -77.06627920586874)"
OG 16-246,Residence,"Pool house, Site alterations",2016-06-16T12:00:00Z,3234 n street nw,"(38.9066505, -77.06442179685416)"
OG 16-245,Residence,"New dormers, Fenestration alterations",2016-06-16T12:00:00Z,1536 32nd street nw,"(38.9101789, -77.0638871)"
OG 16-244,Residence,"Alterations, Replacement windows and doors",2016-06-16T12:00:00Z,1313 28th street nw,"(38.90723465, -77.05688820341608)"
OG 16-237,Commercial,Mechanical equipment- Existing alterations without review,2016-06-16T12:00:00Z,3295 m street nw,"(38.905303849999996, -77.06586208963824)"
OG 16-235,Commercial,"Storefront alterations, Replacement windows",2016-06-16T12:00:00Z,1353-1355 wisconsin avenue nw,"(38.90801135, -77.0633704084453)"
OG 16-233,Residence,"Two-story rear addition, Porch enclosure, Demolition",2016-06-16T12:00:00Z,1679 35th street nw,"(38.91313925, -77.06898597617801)"
OG 16-232,Commercial,"Alterations, Roof deck, Signs - Sweetgreen",2016-06-16T12:00:00Z,1044 wisconsin avenue nw,"(38.9037871, -77.0629636)"
OG 16-231,Commercial,Alterations - Smith Point,2016-06-16T12:00:00Z,1338 wisconsin avenue nw,"(38.907588000000004, -77.06377331933206)"
OG 16-230,Residence,Site work,2016-06-16T12:00:00Z,3338 dent place nw,"(38.91155475, -77.06731384746101)"
OG 16-229,Residence,Site walls/fence,2016-06-16T12:00:00Z,2816 r street nw,"(38.912429, -77.05807901842277)"
OG 16-227,Commercial,Sign - Escape Room Live,2016-06-16T12:00:00Z,3333 m street nw,"(38.9052203, -77.0671637)"
OG 16-226,Commercial,Sign - The Shade Store,2016-06-16T12:00:00Z,3324 m street nw,"(38.90493165, -77.06675028144895)"
OG 16-225,Residence,Replacement windows/doors,2016-06-16T12:00:00Z,3049 west lane keys nw,"(38.9097759, -77.06109520836887)"
OG 16-224,Mixed-use,Gutter replacement,2016-06-16T12:00:00Z,3225 grace street nw,"(38.9040981, -77.0642466)"
OG 16-223,Commercial,Alterations,2016-06-16T12:00:00Z,1132 29th street nw,"(38.9049655, -77.0582309)"
OG 16-222,Residence,Rear fence and screen,2016-06-16T12:00:00Z,3050 p street nw,"(38.9091669, -77.06111626900923)"
OG 16-219,Residence,Brick garden wall,2016-06-16T12:00:00Z,1411 29th street nw,"(38.90886845, -77.05798750379934)"
OG 16-218,Residence,Replacement windows,2016-06-16T12:00:00Z,1621 35th street nw,"(38.91136645, -77.06894275888038)"
OG 16-217,Commercial,Signs - Kit Ace,2016-06-16T12:00:00Z,3263 m street nw,"(38.905220636343124, -77.0646440012971)"
OG 16-214,Commercial,Antenna for Verizon Wireless,2016-06-16T12:00:00Z,1023 31st street nw,"(38.9032644, -77.060821)"
OG 16-213,Residence,Rear additions,2016-06-16T12:00:00Z,1660 34th street nw,"(38.9121408, -77.06804151758132)"
OG 16-212,Commercial,Antennas for Verizon Wireless,2016-06-16T12:00:00Z,2715 m street nw,"(38.9054046, -77.0565584)"
OG 16-211,Commercial,Signs - Tuckernuck,2016-06-16T12:00:00Z,1053 wisconsin avenue nw,"(38.9038905, -77.0625918)"
OG 16-210,Residence,"Rear addition, Shed demolition, Site work",2016-06-16T12:00:00Z,3009 dumbarton street nw,"(38.9077782, -77.0596574)"
OG 16-203,Residence,"Alterations, Replacement windows",2016-06-16T12:00:00Z,2809 dumbarton street nw,"(38.907922400000004, -77.0574415449529)"
OG 16-199,Commercial,"Alterations, Signs - AMC Theatres",2016-06-16T12:00:00Z,3111 k street nw,"(38.9027426, -77.0617112)"
OG 16-196,Commercial,"Storefront alterations, Sign - UBIQ",2016-06-16T12:00:00Z,3124 m street nw,"(38.90498155, -77.0619760306102)"
OG 16-193,Commercial,"Replacement gate, Sign - EastBanc",2016-06-16T12:00:00Z,3307 m street nw,"(38.9052514, -77.0667449)"
OG 16-177,Residence,"Alterations, Second story addition",2016-06-16T12:00:00Z,1320 29th street nw,"(38.90742975, -77.05830343735084)"
OG 16-165,Multi-family,Fence and gate,2016-06-16T12:00:00Z,2709 n street nw,"(38.907128549999996, -77.05626136309205)"
OG 16-148,Residence,Alterations,2016-06-16T12:00:00Z,2812 dumbarton street nw,"(38.9075632, -77.05759076265568)"
OG 16-145,Dumbarton,Facade Illumination,2016-06-16T12:00:00Z,1703 32nd street nw,"(38.9141326, -77.0640467)"
OG 16-137,Residence,"New garage, Site work",2016-06-16T12:00:00Z,1419 33rd street nw,"(38.908418049999995, -77.06580602516962)"
OG 16-131,Residence,Rear dormer,2016-06-16T12:00:00Z,1325 30th street nw,"(38.9077786, -77.05904437166427)"
OG 16-124,Commercial,Alterations to FFB terrace,2016-06-16T12:00:00Z,3000 k street nw,"(38.901738300000005, -77.05971253342119)"
OG 16-121,Kesher,Security elements,2016-06-16T12:00:00Z,2801 n street nw,"(38.90699425, -77.05721822563807)"
OG 16-120,Georgetown,Security elements,2016-06-16T12:00:00Z,1308 28th street nw,"(38.9072014, -77.0572213)"
OG 16-106,Residence,Roof replacement,2016-06-16T12:00:00Z,3526 p street nw,"(38.9085711, -77.07017376497305)"
OG 16-105,Residence,Roof replacement,2016-06-16T12:00:00Z,1431 36th street nw,"(38.908564150000004, -77.07024249948182)"
OG 16-093,Commercial,Mechanical equipment,2016-06-16T12:00:00Z,2910 m street nw,"(38.9050666, -77.05852287452055)"
OG 16-088,Residence,"Site work, Stairs at front and side",2016-06-16T12:00:00Z,3203 r street nw,"(38.9139554, -77.0644397451613)"
OG 16-188,Commercial,Signs - Poggenpohl,2016-06-02T12:00:00Z,3327 m street nw,"(38.9052489, -77.0669091)"
OG 16-165,Multi-family,Fence and gate,2016-06-02T12:00:00Z,2709 n street nw,"(38.907128549999996, -77.05626136309205)"
OG 16-093,Commercial,Mechanical equipment,2016-06-02T12:00:00Z,2910 m street nw,"(38.9050666, -77.05852287452055)"
OG 16-249,Georgetown,Solar panels,2016-06-02T12:00:00Z,3700 o street nw,"(38.90893925, -77.07457962060826)"
OG 16-247,Residence,Alterations,2016-06-02T12:00:00Z,1544 33rd street nw,"(38.91000135, -77.06627920586874)"
OG 16-246,Residence,"Pool house, Site alterations",2016-06-02T12:00:00Z,3234 n street nw,"(38.9066505, -77.06442179685416)"
OG 16-244,Residence,"Alterations, Replacement windows and doors",2016-06-02T12:00:00Z,1313 28th street nw,"(38.90723465, -77.05688820341608)"
OG 16-242,Residence,"Alterations, Replacement windows/doors - Existing alterations without review",2016-06-02T12:00:00Z,2920 dumbarton street nw,"(38.9075495, -77.0590264)"
OG 16-241,Residence,"Addition, Demolition, Replacement windows, Site work",2016-06-02T12:00:00Z,3420 p street nw,"(38.90857765, -77.06858449305872)"
OG 16-245,Residence,"New dormers, Rear fenestration alterations",2016-06-02T12:00:00Z,1536 32nd street nw,"(38.9101789, -77.0638871)"
OG 16-240,Mixed-use,"Rooftop and rear additions, Demolition",2016-06-02T12:00:00Z,1029 31st street nw,"(38.90344345, -77.06095608472674)"
OG 16-248,Mixed-use,"Rooftop addition, Demolition",2016-06-02T12:00:00Z,3240 prospect street nw,"(38.90575985, -77.06448965150838)"
OG 16-239,Commercial,Site work,2016-06-02T12:00:00Z,3000 k street nw,"(38.901738300000005, -77.05971253342119)"
OG 16-237,Commercial,Mechanical equipment- Existing alterations without review,2016-06-02T12:00:00Z,3295 m street nw,"(38.905303849999996, -77.06586208963824)"
OG 16-235,Commercial,"Storefront alterations, Replacement windows",2016-06-02T12:00:00Z,1353-1355 wisconsin avenue nw,"(38.90801135, -77.0633704084453)"
OG 16-234,Residence,Two-story rear addition,2016-06-02T12:00:00Z,1653 35th street nw,"(38.91240415, -77.06903782050965)"
OG 16-233,Residence,"Two-story rear addition, Porch enclosure, Demolition",2016-06-02T12:00:00Z,1679 35th street nw,"(38.91313925, -77.06898597617801)"
OG 16-232,Commercial,"Alterations, Roof deck, Signs - Sweetgreen",2016-06-02T12:00:00Z,1044 wisconsin avenue nw,"(38.9037871, -77.0629636)"
OG 16-231,Commercial,Alterations - Smith Point,2016-06-02T12:00:00Z,1338 wisconsin avenue nw,"(38.907588000000004, -77.06377331933206)"
OG 16-230,Residence,Site work,2016-06-02T12:00:00Z,3338 dent place nw,"(38.91155475, -77.06731384746101)"
OG 16-229,Residence,Site walls/fence,2016-06-02T12:00:00Z,2816 r street nw,"(38.912429, -77.05807901842277)"
OG 16-228,Hardy,Antennas for AT&T,2016-06-02T12:00:00Z,1819 35th street nw,"(38.915308800000005, -77.06884014812589)"
OG 16-227,Commercial,Sign - Escape Room Live,2016-06-02T12:00:00Z,3333 m street nw,"(38.9052203, -77.0671637)"
OG 16-226,Commercial,Sign - The Shade Store,2016-06-02T12:00:00Z,3324 m street nw,"(38.90493165, -77.06675028144895)"
OG 16-225,Residence,Replacement windows/doors,2016-06-02T12:00:00Z,3049 west lane keys nw,"(38.9097759, -77.06109520836887)"
OG 16-224,Mixed-use,Gutter replacement,2016-06-02T12:00:00Z,3225 grace street nw,"(38.9040981, -77.0642466)"
OG 16-223,Commercial,Alterations,2016-06-02T12:00:00Z,1132 29th street nw,"(38.9049655, -77.0582309)"
OG 16-222,Residence,Rear fence and screen,2016-06-02T12:00:00Z,3050 p street nw,"(38.9091669, -77.06111626900923)"
OG 16-221,Commercial,"Signs, mechanical equipment, door - Laduree",2016-06-02T12:00:00Z,3060 m street nw,"(38.9050515, -77.0607734)"
OG 16-219,Residence,Brick garden wall,2016-06-02T12:00:00Z,1411 29th street nw,"(38.90886845, -77.05798750379934)"
OG 16-218,Residence,Replacement windows,2016-06-02T12:00:00Z,1621 35th street nw,"(38.91136645, -77.06894275888038)"
OG 16-217,Commercial,Signs - Kit Ace,2016-06-02T12:00:00Z,3263 m street nw,"(38.905220636343124, -77.0646440012971)"
OG 16-216,Commercial,"Mechanical equipment, Demolition",2016-06-02T12:00:00Z,3265 m street nw,"(38.9053284, -77.06480862528693)"
OG 16-215,Commercial,"ATM, Light fixtures, Sign - Bank of America",2016-06-02T12:00:00Z,3281 m street nw,"(38.9052834, -77.0653675)"
OG 16-214,Commercial,Antenna for Verizon Wireless,2016-06-02T12:00:00Z,1023 31st street nw,"(38.9032644, -77.060821)"
OG 16-213,Residence,Rear additions,2016-06-02T12:00:00Z,1660 34th street nw,"(38.9121408, -77.06804151758132)"
OG 16-212,Commercial,Antennas for Verizon Wireless,2016-06-02T12:00:00Z,2715 m street nw,"(38.9054046, -77.0565584)"
OG 16-211,Commercial,Signs - Tuckernuck,2016-06-02T12:00:00Z,1053 wisconsin avenue nw,"(38.9038905, -77.0625918)"
OG 16-210,Residence,"Rear addition, Shed demolition, Site work",2016-06-02T12:00:00Z,3009 dumbarton street nw,"(38.9077782, -77.0596574)"
OG 16-203,Residence,"Alterations, Replacement windows",2016-06-02T12:00:00Z,2809 dumbarton street nw,"(38.907922400000004, -77.0574415449529)"
OG 16-202,Mixed-use,"Awnings, Banner - Curio",2016-06-02T12:00:00Z,1071 thomas jefferson street nw,"(38.9046273, -77.05997164008193)"
OG 16-200,Commercial,"Storefront alterations, Replacement canopy",2016-06-02T12:00:00Z,1335 wisconsin avenue nw,"(38.9074919, -77.06317091714419)"
OG 16-199,Commercial,"Alterations, Signs - AMC Theatres",2016-06-02T12:00:00Z,3111 k street nw,"(38.9027426, -77.0617112)"
OG 16-196,Commercial,"Storefront alterations, Sign - UBIQ",2016-06-02T12:00:00Z,3124 m street nw,"(38.90498155, -77.0619760306102)"
OG 16-193,Commercial,"Replacement gate, Sign - EastBanc",2016-06-02T12:00:00Z,3307 m street nw,"(38.9052514, -77.0667449)"
OG 16-177,Residence,"Alterations, Second story addition",2016-06-02T12:00:00Z,1320 29th street nw,"(38.90742975, -77.05830343735084)"
OG 16-155,Residence,New construction,2016-06-02T12:00:00Z,3324 dent place nw,"(38.911520249999995, -77.06698938726205)"
OG 16-148,Residence,Alterations,2016-06-02T12:00:00Z,2812 dumbarton street nw,"(38.9075632, -77.05759076265568)"
OG 16-145,Dumbarton,Facade Illumination,2016-06-02T12:00:00Z,1703 32nd street nw,"(38.9141326, -77.0640467)"
OG 16-137,Residence,"New garage, Site work",2016-06-02T12:00:00Z,1419 33rd street nw,"(38.908418049999995, -77.06580602516962)"
OG 16-131,Residence,Rear dormer,2016-06-02T12:00:00Z,1325 30th street nw,"(38.9077786, -77.05904437166427)"
OG 16-124,Commercial,Alterations to FFB terrace,2016-06-02T12:00:00Z,3000 k street nw,"(38.901738300000005, -77.05971253342119)"
OG 16-121,Kesher,Security elements,2016-06-02T12:00:00Z,2801 n street nw,"(38.90699425, -77.05721822563807)"
OG 16-120,Georgetown,Security elements,2016-06-02T12:00:00Z,1308 28th street nw,"(38.9072014, -77.0572213)"
OG 16-110,MedStar,"New hospital building, Site work",2016-06-02T12:00:00Z,3800 reservoir road nw,"(38.9111463, -77.07534615326537)"
OG 16-106,Residence,Roof replacement,2016-06-02T12:00:00Z,3526 p street nw,"(38.9085711, -77.07017376497305)"
OG 16-105,Residence,Roof replacement,2016-06-02T12:00:00Z,1431 36th street nw,"(38.908564150000004, -77.07024249948182)"
OG 16-088,Residence,"Site work, Stairs at front and side",2016-06-02T12:00:00Z,3203 r street nw,"(38.9139554, -77.0644397451613)"
OG 16-191,Commercial,Back-lit signs - Paisano's,2016-05-19T12:00:00Z,1815 wisconsin avenue nw,"(38.9152228, -77.0673054)"
OG 16-209,Residence,Removal of polymer-based synthetic stucco - Existing alterations without review,2016-05-19T12:00:00Z,3107 dumbarton street nw,"(38.90783605, -77.06171512480557)"
OG 16-207,Residence,Chimney repair,2016-05-19T12:00:00Z,1611 29th street nw,"(38.91099655, -77.05798169425)"
OG 16-206,Residence,"Addition to garage, Alterations",2016-05-19T12:00:00Z,3100 dumbarton street nw,"(38.9074729, -77.061426)"
OG 16-205,Mixed-use,"Additions, Alterations, Demolition",2016-05-19T12:00:00Z,3000 m street nw,"(38.90505165, -77.0594734877022)"
OG 16-201,Commercial,Roof trellis replacement,2016-05-19T12:00:00Z,1075 thomas jefferson street nw,"(38.90474855, -77.05991591962277)"
OG 16-198,Georgetown,Addition/alterations,2016-05-19T12:00:00Z,1221 36th street nw,"(38.90609945, -77.07004980744813)"
OG 16-197,Commercial,"Alterations, Signs - COS",2016-05-19T12:00:00Z,1200 wisconsin avenue nw,"(38.9053091, -77.0629753)"
OG 16-195,Residence,"Rear addition, alterations - Demolition",2016-05-19T12:00:00Z,3234 n street nw,"(38.9066505, -77.06442179685416)"
OG 16-192,Residence,Site work,2016-05-19T12:00:00Z,1607 31st street nw,"(38.910794100000004, -77.0618143038646)"
OG 16-190,Residence,Roof replacement,2016-05-19T12:00:00Z,1685 34th street nw,"(38.9129583, -77.06772116207146)"
OG 16-189,Commercial,Sign - Compass,2016-05-19T12:00:00Z,1232 31st street nw,"(38.9059893, -77.0614582418838)"
OG 16-187,Residence,Parking pad paving,2016-05-19T12:00:00Z,3111 n street nw,"(38.906979050000004, -77.06170717376159)"
OG 16-186,Residence,Driveway paving,2016-05-19T12:00:00Z,3107 n street nw,"(38.906993099999994, -77.06157207508295)"
OG 16-185,Residence,Driveway paving,2016-05-19T12:00:00Z,3109 n street nw,"(38.90697965, -77.06163926007083)"
OG 16-184,Residence,Door replacement,2016-05-19T12:00:00Z,3641 winfield lane nw,"(38.91188, -77.07168062807185)"
OG 16-183,Residence,Alterations,2016-05-19T12:00:00Z,1524 34th street nw,"(38.90943445, -77.06804001189914)"
OG 16-182,Residence,"Alterations, Deck, Fence",2016-05-19T12:00:00Z,3342 prospect street nw,"(38.9057465, -77.06755086773626)"
OG 16-179,Georgetown,Driveway and parking pad paving,2016-05-19T12:00:00Z,3101 n street nw,"(38.907020900000006, -77.06143250262699)"
OG 16-175,Residence,"Alterations, Parking pad and gates",2016-05-19T12:00:00Z,3025 dumbarton street nw,"(38.90786275, -77.06025905029055)"
OG 16-173,Residence,"Sliding gate, Garden walls, Site work",2016-05-19T12:00:00Z,3247 p street nw,"(38.90894, -77.06489174372386)"
OG 16-168,Commercial,"Storefront alterations, Replacement windows",2016-05-19T12:00:00Z,1353-1355 wisconsin avenue nw,"(38.90801135, -77.0633704084453)"
OG 16-167,Residence,Rear additions and alterations,2016-05-19T12:00:00Z,2707 n street nw,"(38.9069951, -77.05613997520467)"
OG 16-162,Residence,"Three-story rear addition, Alterations, Demolition",2016-05-19T12:00:00Z,3417 r street nw,"(38.913873699999996, -77.06859282562493)"
OG 16-159,Residence,"Alterations, Garage door opening",2016-05-19T12:00:00Z,1318 33rd street nw,"(38.907317199999994, -77.06640859633333)"
OG 16-141,Residence,New window opening,2016-05-19T12:00:00Z,3644 reservoir road nw,"(38.91242795, -77.07229073170241)"
